phenotype,brief_name,var_type,dist_function,default_rank,default_text,category,longitudinal
Orthopnea for congestion score,orthopnea_ccs,continuous,gaussian(),,,exam,Y
Elevated jugular venous pressure for congestion score,jvp_ccs,continuous,gaussian(),,,exam,Y
Systemic arterial compliance,sac,continuous,gaussian(),,,imaging,Y
Systemic vascular resistance index,svri,continuous,gaussian(),,,imaging,Y
Cardiac output echo,co_echo,continuous,gaussian(),,,imaging,Y
Cardiac index echo,ci_echo,continuous,gaussian(),,,imaging,Y
Mean arterial pressure,map,continuous,gaussian(),,,exam,Y
Orthopnea,orthopnea,categorical,multinomial('identity'),,,pro,Y
Serum ferritin,ferritin,continuous,gaussian(),,,labs,
Serum iron,iron,continuous,gaussian(),,,labs,
Total iron binding capacity,tibc,continuous,gaussian(),,,labs,
Transferrin saturation,fe_sat,continuous,gaussian(),,,labs,
Systemic vascular resistance index PAC,sac_pac,continuous,gaussian(),,,procedure,Y
Diastolic dysfunction - TOPCAT definition,dd_topcat,categorical,multinomial('identity'),,,imaging,Y
Diastolic dysfunction - Bursi definition,dd_bursi,categorical,multinomial('identity'),,,imaging,Y
Diastolic dysfunction - ASE 2009 definition,dd_ase2009,categorical,multinomial('identity'),,,imaging,Y
Diastolic dysfunction - ASE 2016 definition,dd_ase2016,categorical,multinomial('identity'),,,imaging,Y
Ventilator efficiency,vevco2,categorical,multinomial('identity'),,,fun_status,Y
Diastolic dysfunction - Olmsted definition,dd_olmsted,categorical,multinomial('identity'),,,imaging,Y
Atrial natriuretic peptide value,anp_val,continuous,gaussian(),,,labs,Y
Renin activity value,renin_val,continuous,gaussian(),,,labs,Y
Norepinephrine value,norepi_val,continuous,gaussian(),,,labs,Y
Epinephrine value,epi_val,continuous,gaussian(),,,labs,Y
Nitrotyrosine value,nitrotyrosine_val,continuous,gaussian(),,,labs,Y
Myeloperoxidase value,mpo_val,continuous,gaussian(),,,labs,Y
