phenotype,brief_name,var_type,dist_function,default_rank,default_text
Arthritis,arthritis,categorical,multinomial('identity'),1,No
Arthritis (frailty),arthritis_frailty,categorical,multinomial('identity'),0,No
ASCVD 10-yr risk score,ascvd,continuous,gaussian(),,
Asthma,asthma,categorical,multinomial('identity'),1,No
Asthma (frailty),asthma_frailty,categorical,multinomial('identity'),0,No
Atrial fibrillation/flutter,af,categorical,multinomial('identity'),1,No
Attends church (frailty),church_frailty,continuous,gaussian(),,
Baby 1 breast fed,baby1_breastfed,categorical,multinomial('identity'),,
Baby 1 breast fed time,baby1_breastfed_time,continuous,gaussian(),,
Baby 2 breast fed,baby2_breastfed,categorical,multinomial('identity'),,
Baby 2 breast fed time,baby2_breastfed_time,continuous,gaussian(),,
Baby 3 breast fed,baby3_breastfed,categorical,multinomial('identity'),,
Baby 3 breast fed time,baby3_breastfed_time,continuous,gaussian(),,
Baby 4 breast fed,baby4_breastfed,categorical,multinomial('identity'),,
Baby 4 breast fed time,baby4_breastfed_time,continuous,gaussian(),,
Baby 5 breast fed,baby5_breastfed,categorical,multinomial('identity'),,
Baby 5 breast fed time,baby5_breastfed_time,continuous,gaussian(),,
Baby 6 breast fed,baby6_breastfed,categorical,multinomial('identity'),,
Baby 6 breast fed time,baby6_breastfed_time,continuous,gaussian(),,
Baby 7 breast fed,baby7_breastfed,categorical,multinomial('identity'),,
Baby 7 breast fed time,baby7_breastfed_time,continuous,gaussian(),,
Balance (frailty),balance_frailty,continuous,gaussian(),,
Basic metabolic rate - kcal,kcal_out,continuous,gaussian(),,
Bathe (Barthel),barthel_bathe,continuous,gaussian(),,
Bathe (Katz),katz_bathe,continuous,gaussian(),,
Belongs to a group,in_a_group,categorical,multinomial('identity'),,
Belongs to a group (frailty),group_member_trailty,continuous,gaussian(),,
Berkman - adviser,bsnq_adviser,continuous,gaussian(),,
Berkman - church frequency,bsnq_church_freq,continuous,gaussian(),,
Berkman - confidant,bsnq_confidant,continuous,gaussian(),,
Berkman - emotional supporter,bsnq_emot_support,continuous,gaussian(),,
Berkman - friends per month,bsnq_friends_per_month,continuous,gaussian(),,
Berkman - in a group,bsnq_group_act,continuous,gaussian(),,
